CNPJ-ID,CNPJ
0,***.00.000/****-24
1,***.00.000/****-90
2,***.00.000/****-91
3,***.00.013/****-90
4,***.00.062/****-70
5,***.00.064/****-61
6,***.00.071/****-21
7,***.00.077/****-57
8,***.00.086/****-84
9,***.00.090/****-52
10,***.00.095/****-72
11,***.00.108/****-90
12,***.00.113/****-57
13,***.00.114/****-03
14,***.00.121/****-80
15,***.00.122/****-84
16,***.00.124/****-40
17,***.00.125/****-52
18,***.00.133/****-26
19,***.00.136/****-06
20,***.00.143/****-46
21,***.00.155/****-28
22,***.00.158/****-37
23,***.00.176/****-57
24,***.00.186/****-70
25,***.00.188/****-18
26,***.00.195/****-74
27,***.00.200/****-33
28,***.00.204/****-20
29,***.00.205/****-02
30,***.00.212/****-13
31,***.00.254/****-82
32,***.00.276/****-20
33,***.00.280/****-52
34,***.00.284/****-52
35,***.00.288/****-88
36,***.00.290/****-30
37,***.00.291/****-16
38,***.00.291/****-35
39,***.00.291/****-54
40,***.00.318/****-25
41,***.00.321/****-66
42,***.00.324/****-50
43,***.00.328/****-89
44,***.00.331/****-54
45,***.00.351/****-24
46,***.00.352/****-01
47,***.00.360/****-04
48,***.00.372/****-22
49,***.00.375/****-20
50,***.00.375/****-60
51,***.00.394/****-01
52,***.00.394/****-33
53,***.00.394/****-50
54,***.00.394/****-87
55,***.00.398/****-02
56,***.00.408/****-08
57,***.00.408/****-48
58,***.00.411/****-38
59,***.00.415/****-41
60,***.00.419/****-58
61,***.00.433/****-03
62,***.00.433/****-08
63,***.00.434/****-08
64,***.00.436/****-26
65,***.00.436/****-70
66,***.00.466/****-53
67,***.00.474/****-02
68,***.00.474/****-62
69,***.00.476/****-08
70,***.00.480/****-60
71,***.00.481/****-01
72,***.00.481/****-32
73,***.00.528/****-50
74,***.00.529/****-02
75,***.00.543/****-80
76,***.00.565/****-19
77,***.00.566/****-65
78,***.00.567/****-07
79,***.00.590/****-00
80,***.00.596/****-10
81,***.00.597/****-88
82,***.00.602/****-90
83,***.00.607/****-84
84,***.00.611/****-28
85,***.00.623/****-73
86,***.00.625/****-61
87,***.00.627/****-60
88,***.00.628/****-10
89,***.00.630/****-39
90,***.00.631/****-00
91,***.00.651/****-89
92,***.00.665/****-24
93,***.00.676/****-06
94,***.00.687/****-41
95,***.00.705/****-94
96,***.00.716/****-71
97,***.00.717/****-59
98,***.00.765/****-30
99,***.00.769/****-65
100,***.00.776/****-56
101,***.00.776/****-60
102,***.00.777/****-16
103,***.00.782/****-34
104,***.00.796/****-03
105,***.00.796/****-75
106,***.00.796/****-83
107,***.00.799/****-89
108,***.00.802/****-13
109,***.00.804/****-72
110,***.00.817/****-80
111,***.00.831/****-06
112,***.00.835/****-08
113,***.00.837/****-05
114,***.00.838/****-92
115,***.00.839/****-66
116,***.00.841/****-44
117,***.00.868/****-46
118,***.00.885/****-56
119,***.00.898/****-02
120,***.00.901/****-89
121,***.00.935/****-27
122,***.00.935/****-46
123,***.00.945/****-70
124,***.00.947/****-80
125,***.00.959/****-33
126,***.00.977/****-06
127,***.00.980/****-43
128,***.00.983/****-60
129,***.00.989/****-59
130,***.00.994/****-82
131,***.00.998/****-97
132,***.01.005/****-64
133,***.01.013/****-28
134,***.01.013/****-94
135,***.01.021/****-40
136,***.01.025/****-87
137,***.01.036/****-99
138,***.01.039/****-80
139,***.01.040/****-32
140,***.01.046/****-35
141,***.01.050/****-23
142,***.01.079/****-16
143,***.01.081/****-60
144,***.01.081/****-65
145,***.01.088/****-74
146,***.01.095/****-00
147,***.01.103/****-88
148,***.01.104/****-75
149,***.01.115/****-00
150,***.01.125/****-95
151,***.01.145/****-97
152,***.01.146/****-38
153,***.01.171/****-64
154,***.01.173/****-03
155,***.01.191/****-60
156,***.01.193/****-30
157,***.01.193/****-55
158,***.01.194/****-09
159,***.01.196/****-86
160,***.01.197/****-80
161,***.01.202/****-57
162,***.01.214/****-29
163,***.01.223/****-77
164,***.01.239/****-55
165,***.01.244/****-40
166,***.01.253/****-87
167,***.01.259/****-14
168,***.01.261/****-79
169,***.01.272/****-05
