PROJETO-ID,PROJETO
0,0101 - FCPC
1,0104 - FCPC - 124.176-1 - ENCARGOS
2,1015 - UFC/EDITORA
3,1016 - CARTA -  UFC/FCPC RADIO UNIVERSITARIA FM
4,1017 - CT. UFC/FCPC - PROJETO DE ORIENTAÇÃO FARMACEUTICA AOS USUARIOS DA FARMÁCIA UNIVERSITÁRIA DA FARMÁCIA-ESCOLA
5,1019 - CT - RNP/INTERNET
6,1048 - LEMA - LAB. ESTATISTICA E MAT. APLICADA
7,1067 - CEPOP/FCPC
8,1089 - RESCISAO CONTRATUAL
9,1109 - CT. UFC/FCPC - EDIÇÕES UFC - PRESTAÇÃO DE SERVIÇOS
10,1299 - DOACAOAVEDA/FCPC/FARMACIAS VIVAS
11,1341 - CARTA/BN/FCPC-PATROCINIO JORNAL DA EDUCACAO
12,1384 - FCF/FUNDO DE CREDITO
13,1415 - CV - PRONERA/INCRA/FCPC-ESC.DE EDUCADORES
14,1417 - CARTA/LABOMAR/CAMAROES MARINHOS
15,1424 - DOACAO/UFC/SECRET.DE REC.HUMANOS/FESTAS
16,1443 - CARTA/FCPC/LABOMAR/CEDECAM
17,1454 - CT - FCPC/EMBRAPA/IAEA-MOSCA DAS FRUTAS
18,1478 - CT - PETROBRAS/FCPC-PROJETO DSOL
19,1479 - CARTA/TAXA PROJETO DSOL
20,1514 - CV - FUNCAP/FCPC - 16/2005-DCR
21,1515 -  CARTA ACORDO/UNESCO - FCPC-REDE DE HOSP. SENTINELA
22,1526 - CV - FINEP/FCPC/CT - INFRA 04 - PROINFRA 01/2004
23,1534 - CT - FCPC/LACT-LABORATORIO DE ANALISES CLINICAS E TOXICOLOGICAS
24,1539 - CT - FCPC/RNP/REDECOMEP
25,1570 - CT PETROBRAS/FCPC-PROJETO DESSALINIZADOR HIBRIDO SOLAR E GAS NATURAL
26,1576 - CV - FINEP/FCPC/UNIFAC/HM
27,1609 - CV - FINEP/FUNPEC-FCPC/GEOFAMB
28,1628 - CV - SMS/FCPC/CENTRO ATENDIMENTO PSICOSSOCIAL
29,1635 - CV - FNS/FCPC SAUDE PERINATAL
30,1649 - CV -  BB/FCPC/UFC - ADMINISTRACAO A DISTANCIA
31,1654 - CV - FINEP/FADE/FCPC/SOLDAGEM
32,1656 - CV - FINEP/FCPC/HUWC/CENTRO PESQ.CLINICAS
33,1661 - CV -  13/2006 - SECITECE/FCPC/DOUTORADO EM ARQUITETURA
34,1668 - CV. PETROBRAS/FCPC/GEOFAMB/ CONTRAPARTIDA
35,1689 - CARTA/FCPC/UFC VIRTUAL
36,1713 - CARTA ERICSSON/TAXA 1345/01
37,1715 - CV -  FINEP/FCPC-CT INFRA PROINFRA-01/2005
38,1717 - CV - FUNCAP/FCPC-027/2006 - APOIO DE INFRA ESTRUTURA LABORATORIAL
39,1719 - CV - ERICSSON/FCPC/T.A./01/2006-UFC-21
40,1720 - CARTA/FCPC/TAXA LESC
41,1721 - CARTA/FCPC/LABOMAR
42,1723 - CV - FINEP/FCPC/UFC/NOVO CAMPI - 01/2006
43,1735 - CARTA - FCPC/CEDEFAR/FFOE/UFC
44,1738 - CV.BNB/FCPC/AVALIACAO DOS HIBRIDOS EXPERIMENTAIS DE MELAO
45,1745 - CV UFC/FCPC/BB-DIVULGACAO DAS ATIV. UFC
46,1773 - CT -  UFC/FCPC - INSTITUTO DE CIENCIAS MEDICAS PAULO MARCELO MARTINS
47,1780 - CV FCPC/FADE/PETROBRAS-CONTRAPARTIDA/
48,1789 - CV -  FUNCAP/FCPC- 04/2007 - PRONEX
49,1790 - CV.FUNCET/UFC/FCPC-PROGRAMA DE FORMACAO EM AUDIVISUAL
50,1794 - CV - BNB/FCPC/FUNDECI-PRODUCAO IN VITRO DE
51,1805 - CV -  FINEP/FCPC-SIMULACAO NUMERICA E AVAL. QUALITATIVA DE COMBUSTAO - O
52,1814 - CT -  PMF/FCPC - ETUFOR 014/2007
53,1815 - CT -  UFC/FCPC IMPLANTACAO DO CAMPUS DA UFC DE SOBRAL.
54,1822 - CT -  SEINF/FCPC - QUALIFOR
55,1837 - CV SEFAZ/FCPC-001/2007-III ENCONTRO CAEN/UFC
56,1840 - CV FINEP/FCPC/UFC-CONSOLIDACAO DA PESQUISA BIOMEDICA
57,1844 - CARTA FCPC -PMF - PAULO MAMEDE
58,1849 - CARTA FCPC/TAXA LABOMAR
59,1858 - CV. PETROBRAS/CONTRAPARTIDA- FCPC-AVALIAÃ‡ÃƒO QUALITATIVA DE COMBUSTÃƒO
60,1859 - CV - BNB/EMBRAPA/FCPC - AVALIACAO DE CLONES DE UVAS APIRENICAS
61,1876 - CV -  BNB/EMBRAPA/FCPC - AGRONEGOCIO DO CAJA
62,1878 - CV -  BNB/EMBRAPA/FCPC - DECORTICADOR DE CASTANHA DE CAJU
63,1882 - CT -  IDT/FCPC-OFICINA-ESCOLA TECENDO O AMANHA
64,1887 - CV - PMF/SMS/UFC/FCPC - ODONTO SUS
65,1892 - CV -  BNB/EMBRAPA-CNPC/FCPC-PROC.INDUSTRIAL DE MORTADELA DE CARNES
66,1893 - CV. BNB/EMBRAPA/CNPC/FCPC - EPIDEMIOLOGIA MOLECULAR
67,1895 - CV - BNB/FCPC NUCLEO DE CONSERVACAO E MELHORAMENTO GENETICO DA RACA MORA
68,1897 - CT - FCPC/ADUFC - RADIO DEBATE
69,1915 - CV.BNB/FCPC/UFC - CURSO DE DOUTORADO INSTIT. EM ARQUITETURA E URB.
70,1916 - CV - FINEP/UFC/FCPC - MODERNIZACAO/CONSOLIDACAO DAS AREAS DE PESQU. UFC
71,1922 - CT - PREF. MARACANAU/ PROJETO FEDERAL DE INCLUSAO PRODUTIVA
72,1926 - CT -  PMF/FCPC- HABITAFOR - CURSOS DE CAPACITACAO
73,1928 - CT - SIND. BANCARIOS/FCPC - RADIO BANCARIOS
74,1928 - CT.SIND. BANCARIOS/FCPC - RADIO BANCARIOS
75,1931 - CT - PETROBRAS/FCPC/UFC - APLICACAO EM AGUAS PROFUNDAS
76,1940 - CT - UFC/FCPC - FISICA UAB/UFC
77,1947 - CV -  FUNCAP/FCPC -21/2007 - DCR
78,1949 - CV - FUNCAP 22/2007 - DCR
79,1952 - CV - FINEP/CENTEC/FCPC - BENEFICIAMENTO DE GRAOS OLEAGINOSOS
80,1954 - CV - FINEP/FCPC - IMPLANT. INFRA-ESTRUTURA PESQUISA CAMPI UFC CARIRI/SOB
81,1961 - CT - UFC/FCPC - REUNI
82,1962 - CT - UFC/FCPC - CURSO DE MESTRADO ECONOMIA 2008.1/PIAUI
83,1966 - TERMO COOPERACAO UNODOC/FCPC - CRIANCAS TRANSMISSAO DE HIV
84,1969 - CV - UNIVERSIDADE DE AACHEN/UFC - AQUASOL SOLAR
85,1971 - CT - UFC/FCPC-SELECAO GRADUACAO TRANSFERIDO
86,1974 - CV - FINEP/FADE/FCPC - TECNICAS REVESTIMENTO METALICO
87,1977 - TERMO DE COOP.PETROBRAS/FCPC-COMPARTILHAMENTO DE DADOS E INFORMACOES
88,1986 - CT - UFC/FCPC - MESTRADO PROFISSIONAL ECONOMIA EMPRESA 2008/1
89,1990 - CV -  FEC/SECULT - AUDIOVISUAL II
90,1992 - CT -  UFC/FCPC PROJETO BASICO DA FASE II DO UCA
91,1994 - CT -  UFC/FCPC REGISTROS DE DIPLOMAS
92,1996 - CT - UFC/FCPC - MELHORIA DA INFRA-ESTRUTURA FISICA DA UFC
93,2001 - CT - UFC/FCPC - ESTRUTURACAO DO NUCLEO UAB NA UFC
94,2010 - CT -  UFC/FCPC - CURSO DE ESPECIALIZACAO EM ENSINO DE FISICA
95,2013 - T UFC/SEAP/FCPC -  PRODUÃ‡ÃƒO DE PEIXES MARINHO NO CEARA
96,2015 - CT - CPRM/UFC/FCPC -  PLATAFORMA CONTINENTAL OESTE - CEARA
97,2019 - CT -  UFC/FCPC - CURSO DE MESTR PROFISSIONAL EM POLITICAS PUBLICAS 2008
98,2021 - CARTA FCPC/COORDENADORIA DE ATIVIDADES DESPORTIVAS E LAZER
99,2023 - CT -  UFC/FCPC - IMPLANTACAO DO CAMPUS DA UFC EM QUIXADA
100,2024 - CT -  UFC/FCPC - LABORATORIO DE ENFERMIDADES EM ORGANISMOS AQUATICOS
101,2028 - CV - BNB/EMBRAPA/FCPC - PRODUCAO DE NONI
102,2030 - CV -  BNB/FCPC/EMBRABA - CNPAT - PROJETO PILOTO DE PRODUCAO INTEGRADA
103,2034 - CT - EMPRESAS/UFC/FCPC - MESTRADO AVALIACAO POLITICAS PUBLICAS
104,2037 - CV - CAGECE/UFC/FCPC-SISTEMA DE DESCARGA DE EFLUENTES DO COMPL. DO PECEM
105,2051 - CV - FNS/FCPC - IMPLEMENTACAO DE ACOES DE ATENCAO A SAUDE DA CRIANCA
106,2053 - CV - SECRETARIA ESPORTE/FCPC - VILAS OLIMPICAS CONJ.CEARA/GENIBAU
107,2054 - CV - SECRETARIA ESPORTE/FCPC - VILAS OLIMPICAS MESSEJANA/CASTELAO
108,2056 - CARTA-ACORDO OPAS/UFC/FCPC - REGESUS
109,2060 - CT - FCPC/CPRM-LEVANTAMENTO BATIMETRICO/FACIOLOGICO DA PLAT. CONT. PB
110,2063 - CV - MINISTERIO DA SAUDE/FCPC - TERAPIA COMUNITARIA
111,2065 - CV.BNB/EMBRAPA/FCPC-PRAGAS E DOENCAS DO MELOEIRO
112,2066 - CV -  FUNCEME/FCPC - DIAGNOSTICO DA QUALIDADE AMBIENTAL
113,2071 - CV - BNB/UFC/FCPC - 3 TURMA MESTRADO POLITICAS PUBLICAS
114,2077 - CV. BNB/FCPC/UFC-PUBLICAÃ‡ÃƒO DA COLEÃ‡ÃƒO-POLITICAS PÃšBLICAS
115,2079 - CV. BNB/UFC/FCPC - ANÃLISE DE CERA DE CARNAÃšBA E PARAFINAS
116,2085 - CV -  BNB/UFC/FCPC - BIOTECNOLOGIA DO PINHAO MANSO
117,2091 - CT - UFC/FCPC - CURSO DE ESPECIALIZACAO - RESIDENCIA EM FISIOTERAPIA
118,2094 - CARTA UFC/FCPC - CURSOS DE EXTENSÃƒO DO HUWC
119,2095 - CARTA UFC/FCPC - CONGRESSO INTERN. EM AVAL. EDUCACIONAL
120,2099 - CT -  UFC/FCPC - CURSO DE ESP. EM TECNOLOGIAS DA INFORMACAO
121,2101 - ACORDO DE COOPERACAO ADER/UFC - A PROTECAO DOS DIREITOS HUMANOS
122,2102 - CV -  BB/UFC/FCPC-APOIO AS ATIVIDADES DA UFC
123,2103 - CV - BANCO DO BRASIL/FCPC/APOIO AS ATIVIDADES DA FCPC
124,2104 - CV - BB/UFC/FCPC-APOIO AS ATIVIDADES DA UFC - 2008
125,2105 - CV - BB/UFC/FCPC-APOIO AS ATIVIDADES DA UFC - 2009
126,2106 - CV - BB/UFC/FCPC-APOIO AS ATIVIDADES DA UFC - 2010
127,2107 - CV - BB/UFC/FCPC-APOIO AS ATIVIDADES DA UFC - 2011
128,2108 - CV -  BB/UFC/FCPC-APOIO AS ATIVIDADES DA UFC 2012
129,2109 - CV -  BNB/FCPC - LABORATORIO DE ESTUDOS DE POLITICAS PUBLICAS(LEPP)
130,2111 - CT - PETROBRAS/FCPC-MONITORAMENTO IPIRANGA
131,2112 - CV - IJF/UFC/FCPC-MANUTENCAO DA AREA DE POS-GRADUACAO EM TRAUMA
132,2114 - CV.BNB/FCPC - CAIO PRADO JUNIOR
